Te[K],Arr[m3/s],CSC_Maxwellian[m3/s]
3.0300000000000000e+03,1.1798572157661745e-34,3.3588786829726878e-41
3.0400000000000000e+03,1.3826024906200498e-34,4.1048092465114047e-41
3.0500000000000000e+03,1.6185298061947978e-34,5.0098365296400446e-41
3.0600000000000000e+03,1.8927963419451410e-34,6.1064915518503304e-41
3.0700000000000000e+03,2.2113178544508686e-34,7.4336706090086057e-41
3.0800000000000000e+03,2.5808738560294921e-34,9.0378250487164333e-41
3.0900000000000000e+03,3.0092264743955702e-34,1.0974360295109657e-40
3.1000000000000000e+03,3.5052546531356411e-34,1.3309270107465756e-40
3.1100000000000000e+03,4.0791055392168889e-34,1.6121072229657757e-40
3.1200000000000000e+03,4.7423651094100400e-34,1.9503079361896838e-40
3.1300000000000000e+03,5.5082503141764742e-34,2.3566058471100347e-40
3.1400000000000000e+03,6.3918252671887848e-34,2.8441345093304962e-40
3.1500000000000000e+03,7.4102442833258659e-34,3.4284486591469066e-40
3.1600000000000000e+03,8.5830248699817669e-34,4.1279499741633345e-40
3.1700000000000000e+03,9.9323541083078086e-34,4.9643841100959200e-40
3.1800000000000000e+03,1.1483432225224311e-33,5.9634203595000100e-40
3.1900000000000000e+03,1.3264857556554227e-33,7.1553269912369130e-40
3.2000000000000000e+03,1.5309057539526621e-33,8.5757571859533258e-40
3.2100000000000000e+03,1.7652770852508044e-33,1.0266656936657309e-39
3.2200000000000000e+03,2.0337586344710145e-33,1.2277317660519469e-39
3.2300000000000000e+03,2.3410544972655154e-33,1.4665607578322767e-39
3.2400000000000000e+03,2.6924811587482243e-33,1.7499393935471313e-39
3.2500000000000000e+03,3.0940424102211076e-33,2.0858188719462917e-39
3.2600000000000000e+03,3.5525128315589072e-33,2.4835051803972386e-39
3.2700000000000000e+03,4.0755307484288011e-33,2.9538789716674243e-39
3.2800000000000000e+03,4.6717016623442559e-33,3.5096493598618432e-39
3.2900000000000000e+03,5.3507132482730940e-33,4.1656466009606194e-39
3.3000000000000000e+03,6.1234631197675793e-33,4.9391593127448384e-39
3.3100000000000000e+03,7.0022006760321921e-33,5.8503226691024333e-39
3.3200000000000000e+03,8.0006844697127439e-33,6.9225641908544431e-39
3.3300000000000000e+03,9.1343566692456142e-33,8.1831105119403374e-39
3.3400000000000000e+03,1.0420536336173026e-32,9.6635744373620093e-39
3.3500000000000000e+03,1.1878633396779184e-32,1.1400629513653095e-38
3.3600000000000000e+03,1.3530385359673113e-32,1.3436780612380798e-38
3.3700000000000000e+03,1.5400119017527477e-32,1.5821245824297449e-38
3.3800000000000000e+03,1.7515039573138453e-32,1.8610964906339218e-38
3.3900000000000000e+03,1.9905549848432699e-32,2.1871751480476399e-38
3.4000000000000000e+03,2.2605602471205796e-32,2.5679608395151287e-38
3.4100000000000000e+03,2.5653088189511231e-32,3.0122228141194524e-38
3.4200000000000000e+03,2.9090263739084605e-32,3.5300702995954827e-38
3.4300000000000000e+03,3.2964222986424050e-32,4.1331472633475881e-38
3.4400000000000000e+03,3.7327415390667357e-32,4.8348526137073546e-38
3.4500000000000000e+03,4.2238216172855083e-32,5.6505888639935944e-38
3.4600000000000000e+03,4.7761552953220583e-32,6.5980487826494320e-38
3.4700000000000000e+03,5.3969594017662966e-32,7.6975392480573020e-38
3.4800000000000000e+03,6.0942503805420942e-32,8.9723480515810178e-38
3.4900000000000000e+03,6.8769271673234796e-32,1.0449159454434418e-37
3.5000000000000000e+03,7.7548620489089901e-32,1.2158524624108275e-37
3.5100000000000000e+03,8.7390002143272794e-32,1.4135393803014237e-37
3.5200000000000000e+03,9.8414687638313955e-32,1.6419717870569128e-37
3.5300000000000000e+03,1.1075696003499302e-31,1.9057127858775415e-37
3.5400000000000000e+03,1.2456541919159804e-31,2.2099701980144938e-37
3.5500000000000000e+03,1.4000440794091478e-31,2.5606829965262723e-37
3.5600000000000000e+03,1.5725557010685352e-31,2.9646174006735781e-37
3.5700000000000000e+03,1.7651955157347839e-31,3.4294759837731597e-37
3.5800000000000000e+03,1.9801785648659563e-31,3.9640214240692899e-37
3.5900000000000000e+03,2.2199487159563447e-31,4.5782148788455206e-37
3.6000000000000000e+03,2.4872007273475896e-31,5.2833714120787488e-37
3.6100000000000000e+03,2.7849042850105612e-31,6.0923344840282880e-37
3.6200000000000000e+03,3.1163301731798191e-31,7.0196717090213819e-37
3.6300000000000000e+03,3.4850787527853626e-31,8.0818943285424670e-37
3.6400000000000000e+03,3.8951109344906510e-31,9.2977031124408257e-37
3.6500000000000000e+03,4.3507818468597225e-31,1.0688263694067773e-36
3.6600000000000000e+03,4.8568774147871065e-31,1.2277514668117140e-36
3.6700000000000000e+03,5.4186540788847665e-31,1.4092510192193450e-36
3.6800000000000000e+03,6.0418819030817699e-31,1.6163797498129169e-36
3.6900000000000000e+03,6.7328913353135756e-31,1.8525847820348894e-36
3.7000000000000000e+03,7.4986239049143439e-31,2.1217535240069329e-36
3.7100000000000000e+03,8.3466871602415026e-31,2.4282669073808649e-36
3.7200000000000000e+03,9.2854141712193202e-31,2.7770587031744514e-36
3.7300000000000000e+03,1.0323927943955299e-30,3.1736815679670575e-36
3.7400000000000000e+03,1.1472211118427725e-30,3.6243805399657717e-36
3.7500000000000000e+03,1.2741181345542710e-30,4.1361747769074562e-36
3.7600000000000000e+03,1.4142772766683200e-30,4.7169484071125557e-36
3.7700000000000000e+03,1.5690024047307715e-30,5.3755514518775166e-36
3.7800000000000000e+03,1.7397173446279771e-30,6.1219118163008204e-36
3.7900000000000000e+03,1.9279761434511573e-30,6.9671576149311938e-36
3.8000000000000000e+03,2.1354741410271056e-30,7.9237532310365507e-36
3.8100000000000000e+03,2.3640599094232486e-30,9.0056528277619432e-36
3.8200000000000000e+03,2.6157481225133071e-30,1.0228468783221452e-35
3.8300000000000000e+03,2.8927334216846758e-30,1.1609657938510171e-35
3.8400000000000000e+03,3.1974053479890932e-30,1.3168727558786022e-35
3.8500000000000000e+03,3.5323644154968256e-30,1.4927462969423871e-35
3.8600000000000000e+03,3.9004394053213584e-30,1.6910179012863360e-35
3.8700000000000000e+03,4.3047059647492030e-30,1.9143997671595778e-35
3.8800000000000000e+03,4.7485066011499613e-30,2.1659154420151046e-35
3.8900000000000000e+03,5.2354721658672605e-30,2.4489336105427348e-35
3.9000000000000000e+03,5.7695449291164548e-30,2.7672051791873883e-35
3.9100000000000000e+03,6.3550033530513011e-30,3.1249032400553719e-35
3.9200000000000000e+03,6.9964886766257624e-30,3.5266682942397833e-35
3.9300000000000000e+03,7.6990334326817614e-30,3.9776580318085986e-35
3.9400000000000000e+03,8.4680920248549421e-30,4.4836017243791484e-35
3.9500000000000000e+03,9.3095734994238678e-30,5.0508599973549111e-35
3.9600000000000000e+03,1.0229876655149692e-29,5.6864904820938504e-35
3.9700000000000000e+03,1.1235927642480691e-29,6.3983198910163200e-35
3.9800000000000000e+03,1.2335220212245340e-29,7.1950231057551487e-35
3.9900000000000000e+03,1.3535858783148036e-29,8.0862099194066630e-35
4.0000000000000000e+03,1.4846604507031580e-29,9.0825201290487026e-35
4.0100000000000000e+03,1.6276924520997655e-29,1.0195727718727987e-34
4.0200000000000000e+03,1.7837044586101728e-29,1.1438853159247097e-34
4.0300000000000000e+03,1.9538005323487125e-29,1.2826285457408829e-34
4.0400000000000000e+03,2.1391722270500842e-29,1.4373920132081470e-34
4.0500000000000000e+03,2.3411049991587040e-29,1.6099308160443561e-34
4.0600000000000000e+03,2.5609850491574252e-29,1.8021818394604332e-34
4.0700000000000000e+03,2.8003066192419124e-29,2.0162814939498249e-34
4.0800000000000000e+03,3.0606797748525206e-29,2.2545850783269316e-34
4.0900000000000000e+03,3.3438386990483746e-29,2.5196879075840644e-34
4.1000000000000000e+03,3.6516505302485447e-29,2.8144483563808571e-34
4.1100000000000000e+03,3.9861247754751356e-29,3.1420129810809810e-34
4.1200000000000000e+03,4.3494233329185040e-29,3.5058438962722680e-34
4.1300000000000000e+03,4.7438711594031787e-29,3.9097485083588793e-34
4.1400000000000000e+03,5.1719676201734637e-29,4.3579109514183516e-34
4.1500000000000000e+03,5.6363985603369509e-29,4.8549272537012401e-34
4.1600000000000000e+03,6.1400491393099734e-29,5.4058440387521341e-34
4.1700000000000000e+03,6.6860174717018236e-29,6.0162000800075032e-34
