n0,ne/n0,(Ar)/n0,(Ar*(1))/n0,(Ar*(2))/n0,(Ar*(3))/n0,Tg,E,energy,mobility,diffusion,C0,C1,C2,C3,C4,C5,C6,C7
3.22e+22,1.5990901083743328e-05,0.9999840052873343,2.299145602844538e-09,2.2440657273555313e-10,1.2880297128044989e-09,2034.9537512454733,0.6869297785128248,0.4719774337086937,2.317817978847947e+25,2.8800686863124213e+25,3.558562275687912e-15,0.0,0.0,0.0,0.0,8.858847866940429e-24,2.214592515677792e-23,1.420910924918815e-19
3.22e+22,3.0169384731664555e-05,0.9999698161634568,7.382863073780212e-09,6.298625439336906e-10,6.439085917244762e-09,2353.8554004816297,0.0023899242549586626,0.3043267251672677,3.829545625782729e+23,3.252126676379856e+25,2.139034551752639e-15,0.0,0.0,0.0,0.0,4.189943888061092e-23,9.234933940420841e-23,2.186312030007645e-19
3.22e+22,1.2460138536573356e-05,0.9999875378852988,1.5064847985705848e-09,1.84475273103685e-10,2.8520468095915104e-10,1678.4461592166947,0.02960717668406559,0.22975982688902685,5.964888110583351e+24,3.299023949155677e+25,1.5216229243445206e-15,0.0,0.0,0.0,0.0,1.0155241402943282e-26,3.1151729707287975e-26,1.0679405433192825e-21
3.22e+22,3.082836813542492e-05,0.9999691564606047,7.468425402427713e-09,6.233132928989205e-10,7.079520999033779e-09,2430.289492302869,0.010511703228540028,0.3153294855494855,1.6091617181513038e+24,3.2418650046366454e+25,2.239020809171843e-15,0.0,0.0,0.0,0.0,8.190636666037711e-23,1.75986677839092e-22,3.398039361587652e-19
3.22e+22,3.4120829106837024e-05,0.9999658625598585,1.0075748745990026e-08,9.78656758162754e-10,5.556629081021121e-09,2052.254726810246,0.002169229009090626,0.2653418304249617,4.016527016790014e+23,3.2764090585689154e+25,1.804817450527109e-15,0.0,0.0,0.0,0.0,1.8971664408004556e-24,4.7141078065422564e-24,2.923837491857711e-20
3.22e+22,5.684963394846073e-05,0.999943098201585,2.0849921205523634e-08,1.5463782694490439e-09,2.9768167059329866e-08,2934.0675868344397,1.2867799774858778e-12,0.3792699558063553,158559998712110.0,3.115404665809572e+25,2.9170552715140033e-15,0.0,0.0,0.0,0.0,2.7653487177903554e-21,5.20071146755911e-21,3.474066465585277e-18
3.22e+22,9.921556466381245e-06,0.9999900770777292,9.271845722523175e-10,1.015235632689309e-10,3.3709638838316295e-10,1844.8224758361039,0.3065048095621086,0.37886593455104633,1.792701985182938e+25,3.3258376630990473e+25,2.452926115335232e-15,0.0,0.0,0.0,0.0,3.9070368731088043e-25,1.0789498938595094e-24,1.5660030726156243e-20
3.22e+22,3.880778042741368e-05,0.9999611699208544,1.2521767466505475e-08,1.145327763020458e-09,8.631622990022886e-09,2188.799305378694,0.014471131171888045,0.2854759960709189,2.4575827858387416e+24,3.2805002778584394e+25,1.9608427427949555e-15,0.0,0.0,0.0,0.0,8.67720232874201e-24,2.0335803688458318e-23,7.875956385768067e-20
3.22e+22,1.2117056109038991e-05,0.999987880854275,1.3582941066575548e-09,1.423251795098108e-10,5.889967682207613e-10,1911.772387506602,0.391401432029231,0.4051728276177107,1.923413800525147e+25,3.2018411192561614e+25,2.7393885335659692e-15,0.0,0.0,0.0,0.0,1.1406381787566643e-24,3.0352748577265715e-24,3.255835821379445e-20
3.22e+22,4.920898818110245e-06,0.9999950783359354,3.1827490320568856e-10,2.1304302050722827e-11,4.256673536548152e-10,2756.733289165026,8.444948859484269,1.2991917429840916,6.04121151287307e+25,1.4036385877423517e+25,1.579089801240361e-14,0.0,0.0,0.0,0.0,5.684854020936896e-18,9.97429193893729e-18,2.451955865353637e-15
3.22e+22,2.667284503523308e-06,0.9999973326194455,5.848369317551472e-11,6.3659354981481495e-12,3.120138316555989e-11,1987.5310404362426,5.894795807355763,1.0371670831706523,5.455635014040484e+25,1.6067506999600088e+25,1.1860470647463681e-14,0.0,0.0,0.0,0.0,6.353176004634454e-20,1.4354626202321385e-19,2.2145570118194525e-16
3.22e+22,3.802350536022064e-05,0.9999619534616353,1.120024454579134e-08,9.269664244117484e-10,1.090579356487171e-08,2458.7721318742947,1.0783030309670003e-12,0.3178255999388588,164570897205478.62,3.23362291525827e+25,2.267855632680682e-15,0.0,0.0,0.0,0.0,1.0316472818451733e-22,2.1966761958485964e-22,3.945444619033913e-19
3.22e+22,2.740829101083829e-05,0.9999725798109627,6.029293034759589e-09,5.136467737947729e-10,5.3550867172026545e-09,2369.6203424659448,0.05837560440670015,0.3324118510994125,7.331026923360858e+24,3.302451223838292e+25,2.309409025078079e-15,0.0,0.0,0.0,0.0,5.543302170166769e-23,1.215187543115721e-22,2.7547162144184826e-19
3.22e+22,1.6507457627901312e-05,0.9999834886992472,2.4390195418922515e-09,2.5030718789025437e-10,1.153797961141943e-09,1956.9196766682805,0.10739533483879878,0.3166451236882776,1.1816269427145441e+25,3.457883530084031e+25,2.0129327506832116e-15,0.0,0.0,0.0,0.0,9.094019990456168e-25,2.3656292040407314e-24,2.1230550037109828e-20
3.22e+22,4.482991765009452e-05,0.9999551381168691,1.1870586835660267e-08,8.562679519160209e-10,1.9238626146998807e-08,3142.4270862195212,0.49396546350594517,0.5375928598815157,1.6327974223620057e+25,2.7164140216368473e+25,4.551813435793084e-15,0.0,0.0,0.0,0.0,1.507763632191185e-20,2.7174497562753106e-20,1.2926396413225997e-17
3.22e+22,4.353960666394644e-06,0.999995645316094,3.453375021855968e-10,2.3732513083984496e-11,3.5416967970291183e-10,2428.239349070489,5.81999380748952,1.0594079303965596,5.303076189040308e+25,1.5919818325088454e+25,1.2192682504629283e-14,0.0,0.0,0.0,0.0,2.849885287459395e-19,5.66063939474763e-19,3.8746454207369943e-16
3.22e+22,2.9967709069185488e-06,0.9999970031090453,7.570701359222164e-11,8.430429332950382e-12,3.5910351816529775e-11,1934.061659490997,4.611526112894969,0.916222482098832,4.976300893270785e+25,1.7401477506657742e+25,1.0054828485302523e-14,0.0,0.0,0.0,0.0,7.711456348363054e-21,1.8598135463381588e-20,5.478304563217418e-17
3.22e+22,8.521771660841515e-06,0.9999914773433736,6.866795549762044e-10,8.788414609312184e-11,1.1040195376815248e-10,1647.2127234017419,7.223457711205099e-13,0.21291667819907908,162532109357378.56,3.193799110320095e+25,1.4683630480705195e-15,0.0,0.0,0.0,0.0,5.175273028405227e-27,1.6225704727847603e-26,6.661426000272373e-22
3.22e+22,3.0301751318021913e-05,0.9999696844184999,7.713496506484415e-09,7.056476990884944e-10,5.4110379852218444e-09,2186.01412121901,0.01487604322529214,0.2852574696560445,2.526730810775002e+24,3.281259364399995e+25,1.9584341265074964e-15,0.0,0.0,0.0,0.0,8.438586471440569e-24,1.979828761435785e-23,7.736067618424536e-20
3.22e+22,3.5732537987878336e-05,0.999964247065862,1.0027094094981144e-08,8.343665159696011e-10,9.534689412743784e-09,2434.452832447881,1.067617051628446e-12,0.31468133871792203,164801478920308.56,3.238217338710443e+25,2.2373849976068717e-15,0.0,0.0,0.0,0.0,8.428435362843193e-23,1.8085693683368623e-22,3.45525690895746e-19
3.22e+22,3.878759435399833e-06,0.9999961210395053,1.2666564802518313e-10,1.4001075047002965e-11,6.039261331237262e-11,1941.5944470054928,5.3256952940419415,0.9830803210420209,5.259558568754644e+25,1.6618521891328416e+25,1.1053667979439443e-14,0.0,0.0,0.0,0.0,2.377615676395933e-20,5.576550556870785e-20,1.2022024116601635e-16
3.22e+22,1.6842823533487104e-05,0.999983153613374,2.7342704024069616e-09,3.3417264807909845e-10,4.946494315595834e-10,1674.7710916417525,0.0023610068441021538,0.2165752400541791,5.2407332684619063e+23,3.2063472102820484e+25,1.4864150382381138e-15,0.0,0.0,0.0,0.0,8.460165665573357e-27,2.601798171085114e-26,9.107810942789399e-22
3.22e+22,3.064466839943545e-06,0.9999969354228617,8.284812059711194e-11,1.1144832450229153e-11,1.630541837651256e-11,1677.7161738455595,6.153319391606042,1.04034884040327,5.634919090416917e+25,1.5991656806517327e+25,1.1908112369405253e-14,0.0,0.0,0.0,0.0,2.3394692865685585e-20,5.922448355188292e-20,1.7392249434749646e-16
