n0,ne/n0,(Ar)/n0,(Ar*(1))/n0,(Ar*(2))/n0,(Ar*(3))/n0,Tg,E,energy,mobility,diffusion,C0,C1,C2,C3,C4,C5,C6,C7
3.22e+22,0.0008810652654320017,0.9991186287560155,1.4604915797881973e-07,4.203192544297021e-08,1.1789746890460909e-07,6954.243930858731,0.5166793037044161,0.9154582327758933,-1.0291041091239815e+19,2.0725182335576317e+25,1.0312876976402507e-14,6.6016980720635956e-24,8.433862692315365e-24,8.264675977093133e-26,1.4125279194359353e-25,7.381994056465697e-17,9.676727580133626e-17,3.971753931734261e-15
3.22e+22,0.000529714248495989,0.9994700823109914,8.097759681640949e-08,2.240608480684271e-08,1.0005683112510752e-07,6102.208712058329,0.3238709326726397,0.912473479984088,-5.4581029670184436e+19,2.0764959963361804e+25,1.0267419955069767e-14,5.794548795967092e-24,7.251281045918412e-24,6.240872615057838e-26,8.759612642722749e-26,7.202507818604473e-17,9.449400643142268e-17,3.901926471668636e-15
3.22e+22,0.0009119886161777132,0.9990877072807264,1.5548216893375418e-07,4.7330925876604444e-08,1.01290001067999e-07,7206.7700488505725,2.8549692329004857,0.9185219346239304,7.49642109544895e+20,2.0684475434787494e+25,1.0359558833597458e-14,7.065688337518043e-24,9.049207793607436e-24,8.979892412639281e-26,1.4720480435725084e-25,7.567349534492183e-17,9.911541280743544e-17,4.043869111881213e-15
3.22e+22,0.0007636066445841249,0.9992361325255978,1.1866663131043409e-07,3.351378341537872e-08,1.0864940345729821e-07,6731.794358597187,0.8075076708736821,0.9148006478561668,-5.357445369103183e+19,2.073393286691712e+25,1.0302859013434849e-14,6.405307697473862e-24,8.14050974988919e-24,7.721665276130292e-26,1.2376322543012452e-25,7.34222529909399e-17,9.626368510097385e-17,3.956309094701654e-15
3.22e+22,0.00043090290086022793,0.99956891232536,6.924878770309475e-08,1.8988093316730637e-08,9.653689886707396e-08,5778.015211810376,0.08258724371009382,0.9113276439560252,-1.3078542072151912e+19,2.0780260895830144e+25,1.0249974378184267e-14,5.459337747048826e-24,6.764216483863379e-24,5.462033510651777e-26,7.185048875824432e-26,7.133830572283256e-17,9.362437795705387e-17,3.875222228384598e-15
3.22e+22,0.0022598175948930713,0.9977387197214335,8.619326890917569e-07,3.415194903040694e-07,2.5923149409736934e-07,8513.25340886199,6.2733914096721,0.93073020023023,8.421438293968907e+21,2.052396378895071e+25,1.0546016540165671e-14,9.70198944979774e-24,1.2780384052448123e-23,1.4952930023125818e-25,3.347189256913852e-25,8.340318146305086e-17,1.0888813414293642e-16,4.3398469420185265e-15
3.22e+22,0.0009933526556628175,0.9990062850174187,2.0348330374395498e-07,7.033100843722192e-08,8.851260632026826e-08,7587.8464515272435,5.14829228620498,0.9248553194693311,5.49246003069498e+21,2.060086133845779e+25,1.0456198202011808e-14,8.12004872051845e-24,1.0456548854688916e-23,1.0671759764443012e-25,1.6246365342090046e-25,7.96112227373184e-17,1.0409800618994368e-16,4.1956302463659425e-15
3.22e+22,0.001099910133523508,0.9988996793852818,2.2250381911718894e-07,7.232444342911337e-08,1.1565293221340508e-07,7509.244604468834,0.7266184704220262,0.9174590665562797,1.8547667008832088e+20,2.0698592748863073e+25,1.0343365253289348e-14,7.043791368376904e-24,9.069436042699854e-24,9.321057680989886e-26,1.7354241234692293e-25,7.503337389503127e-17,9.83039890825607e-17,4.018878247248781e-15
3.22e+22,0.0008599267512877023,0.9991397785982927,1.403447780219838e-07,4.0379265657590755e-08,1.1392637597771663e-07,6937.9667321461575,1.0389879917454774,0.9156294317105691,-1.8023957294285662e+19,2.0722901619761283e+25,1.0315483737583357e-14,6.6080802118291115e-24,8.435823424989932e-24,8.226139992336865e-26,1.3802453461167652e-25,7.39219310070478e-17,9.689660364782313e-17,3.975748433321347e-15
3.22e+22,0.0016874383382418138,0.9983117499617825,4.514303480911514e-07,1.5095522966911958e-07,2.0931439779799718e-07,7895.502748110693,1.0010715507808887,0.9188670504753501,1.0184636096309946e+20,2.0679917690828152e+25,1.0364827510599413e-14,7.488190065359288e-24,9.754794715098429e-24,1.0783079653552022e-25,2.523131747898404e-25,7.589221921471631e-17,9.939154704198079e-17,4.052190149212964e-15
3.22e+22,0.0005895649332075965,0.9994102199456366,8.882810082147659e-08,2.4656190393189597e-08,1.016368645775673e-07,6284.132436671365,0.19808638202529721,0.9130824681376498,-1.8470011254132265e+19,2.075683470988218e+25,1.0276693079342475e-14,5.9670354631787995e-24,7.502989059276299e-24,6.656853613870744e-26,9.70130353092809e-26,7.239057161324181e-17,9.495686257119093e-17,3.916142033192203e-15
3.22e+22,0.00107582537141315,0.9989237774344256,2.0216482949207328e-07,6.067969629900391e-08,1.3434963540538193e-07,7270.06083606609,0.5539498877403531,0.9165556171550323,1.6385172212619624e+19,2.071059066350244e+25,1.0329596745849872e-14,6.891869958845722e-24,8.863983477206342e-24,9.055932034609944e-26,1.6960385733797025e-25,7.448409084394739e-17,9.760841473766312e-17,3.997561790598993e-15
