n0,ne/n0,(Ar)/n0,(Ar*(1))/n0,(Ar*(2))/n0,(Ar*(3))/n0,Tg,E,energy,mobility,diffusion,C0,C1,C2,C3,C4,C5,C6,C7
3.22e+22,2.91323813945468e-05,0.9999708543977723,4.476018898414619e-09,4.7232292122961e-10,8.272491345349164e-09,3573.117698728673,6.720198040853346,0.5905803202149503,1.787616492268712e+23,2.6249759534862486e+25,5.60434053809442e-15,2.371164312026487e-27,6.0363524817395234e-27,4.325393171722344e-28,3.297657596686326e-27,1.2712591488131841e-18,1.9182798557136313e-18,2.2592622587158396e-16
3.22e+22,0.00015557039646747824,0.9998442828333968,4.820714318843581e-08,9.704148407976461e-09,8.88588442649457e-08,4336.523484019445,0.18163881492387748,0.5611072046796297,1.0414592243211109e+18,2.6894247543746273e+25,5.204365536018639e-15,9.5544033517316e-27,2.572788725529307e-26,1.9207990253042598e-27,1.4946318243802155e-26,7.343241377591182e-19,1.1271338479548452e-18,1.5262149809125436e-16
3.22e+22,0.00021054187019924297,0.9997892749363244,6.041659779006139e-08,1.3688826392890083e-08,1.0908805214345664e-07,4624.092756070129,2.0281856237267925e-12,0.5616132886028238,726172237.4802117,2.6883046874823904e+25,5.21119552560161e-15,1.205559413329567e-26,3.270687217545095e-26,2.4589183021424033e-27,1.923743100122741e-26,7.425219225187922e-19,1.1392178614841751e-18,1.5376453243357094e-16
3.22e+22,8.207783608876034e-05,0.9999178340900101,2.9849120819040815e-08,3.018255452881503e-09,5.5206524724375284e-08,3575.474806712115,0.10486062948115615,0.5597095804709835,-1.0756962857206155e+20,2.692516556532685e+25,5.1855046161034234e-15,5.70389197573904e-27,1.5114546955027526e-26,1.112781646004387e-27,8.57078467407699e-27,7.10806763007606e-19,1.0926065965591754e-18,1.494260064881579e-16
3.22e+22,6.967576314118764e-05,0.9999302896392708,1.1414000980471583e-08,2.1276158923722178e-09,2.1055970979078853e-08,4172.410520587252,2.9451795022776777,0.566257054875521,1.3076992504179112e+22,2.6780240526244744e+25,5.2738909583545024e-15,4.984326694692039e-27,1.3126861360337307e-26,9.620371856529438e-28,7.394767610996624e-27,8.144169756760759e-19,1.2457746960618447e-18,1.6412851037036582e-16
3.22e+22,0.00014760574239568435,0.9998522534818669,4.626031550252935e-08,9.076660999699732e-09,8.543876097171079e-08,4286.326672393656,0.27132422130007244,0.5610391328329479,-9.514196481872587e+18,2.6895752790633113e+25,5.203446686193166e-15,9.167099257477919e-27,2.4651947790355376e-26,1.8382318687295913e-27,1.429049855319301e-26,7.331836651278919e-19,1.125457876639653e-18,1.524656848244226e-16
3.22e+22,0.00013050592347083753,0.9998694656869175,1.005458907582716e-08,2.6619728746567847e-09,1.5673049630329335e-08,5381.418261012239,8.480980991781399,0.6034346821025994,2.368703007612678e+23,2.598017240837753e+25,5.781220490379585e-15,8.37311169777211e-27,2.202924848336443e-26,1.6203553431382033e-27,1.2581330041609354e-26,1.6670809120196546e-18,2.486846988122049e-18,2.699499313239835e-16
3.22e+22,0.00030027753234954823,0.9996994991535121,7.541914294914843e-08,1.889844593955046e-08,1.2899654959592445e-07,5006.111020876614,3.5890933308959494,0.5690822537596467,2.0336339252979893e+22,2.671830843628215e+25,5.312163605011704e-15,1.563820574992922e-26,4.2762079173350114e-26,3.240522967506338e-27,2.5519135180927048e-26,8.659620671522181e-19,1.3214404901378692e-18,1.7104060223731157e-16
3.22e+22,0.00025547460776823873,0.9997444002935594,4.316691786933313e-08,1.1217956910888e-08,7.071379754136325e-08,5210.002048931697,1.3911565467470564,0.5637273783493927,2.1625897582165434e+21,2.6836286861901086e+25,5.239738803123154e-15,1.392723496435737e-26,3.7954912320051466e-26,2.866116699998613e-27,2.2503356987253127e-26,7.764526012647082e-19,1.1893262370631609e-18,1.5854483359017649e-16
3.22e+22,0.00010006288914870354,0.9998998100097476,4.294912731719451e-08,4.6719786119774845e-09,7.947999771905063e-08,3620.3953948670214,1.5878534544667587e-12,0.5597840156669777,-1640913386.9801676,2.6923532642394853e+25,5.186511274904629e-15,6.709382380688735e-27,1.7869397118476308e-26,1.3211567916064535e-27,1.0204285862166134e-26,7.124165791681415e-19,1.0949250431557082e-18,1.496164541750548e-16
3.22e+22,5.3408774625191595e-05,0.9999465505273303,1.3999515174295375e-08,1.125687642796966e-09,2.557284147763334e-08,3432.2496813508956,0.8359955021943685,0.5599008953871052,-9.114883507633345e+20,2.6920827788892407e+25,5.188068242047196e-15,3.984336134539381e-27,1.0440561306565954e-26,7.6192549595091e-28,5.838089967695446e-27,7.117135487841289e-19,1.0942099637199496e-18,1.497238217466084e-16
3.22e+22,0.00010468844021274305,0.9998951792395524,4.4520563193716476e-08,5.292475464850368e-09,8.25071961638796e-08,3685.1556524593366,1.6162255023224585e-12,0.5599017435912996,-1507655810.4250154,2.692092789669737e+25,5.188099772433853e-15,6.964352180530025e-27,1.8569927362488344e-26,1.374322562117123e-27,1.062289395446585e-26,7.144125408377218e-19,1.097852430862245e-18,1.4988593588181766e-16
3.22e+22,0.0003017480023011939,0.999698101677642,5.26261667753569e-08,1.3915200242168409e-08,8.377868977121234e-08,5329.1910631326555,0.9546880554010051,0.5633854112884735,1.1269942921104379e+21,2.6843848341375627e+25,5.2351205791204245e-15,1.5726517247522358e-26,4.3031746291719583e-26,3.262267003376976e-27,2.56858248572296e-26,7.709991413092468e-19,1.1812637214778116e-18,1.5777163349381838e-16
3.22e+22,0.00019120232746070278,0.9998086573504774,4.6399167920686665e-08,1.0694555149268045e-08,8.322833895024516e-08,4679.290216526509,0.6574387437115478,0.5619551473736493,3.3640487665880406e+20,2.6875476888737716e+25,5.215808906937489e-15,1.1205517673258278e-26,3.032654023837146e-26,2.2747876716087005e-27,1.7766795586199836e-26,7.479278525622638e-19,1.1472053669185792e-18,1.545297996224822e-16
3.22e+22,6.394341842025521e-05,0.9999359982051347,2.001805516979755e-08,1.5032033297889011e-09,3.6855186626912624e-08,3424.233591179686,0.411964416124886,0.5595369068730842,-5.4265283506362044e+20,2.6928950206623818e+25,5.183168836089985e-15,4.623982012805033e-27,1.2174850421652371e-26,8.917667892769496e-28,6.846804675390481e-27,7.070291663144941e-19,1.0871679304095705e-18,1.4898087833966581e-16
3.22e+22,9.50348892575513e-05,0.9999048514513762,3.839411492134362e-08,4.226675836457193e-09,7.103857535535932e-08,3628.387038410532,1.5913010603353476e-12,0.5597986979687403,-1641235382.3727374,2.692320398883193e+25,5.186708746865138e-15,6.4374747278974905e-27,1.7123171847340793e-26,1.2646358273133938e-27,9.76099215331726e-27,7.125709384608086e-19,1.0951630348591332e-18,1.4964460478005534e-16
3.22e+22,0.0001909122468963142,0.9998089207919596,5.494959984759723e-08,1.2112655889592071e-08,9.989888845237596e-08,4547.853170377353,0.006968969529633183,0.5614741326487235,1.206866211917398e+18,2.6886127194901545e+25,5.209317528885325e-15,1.1199003600926751e-26,3.030995379108513e-26,2.2735515293647116e-27,1.775612522455694e-26,7.402906720580051e-19,1.1359254247268211e-18,1.5345132847329902e-16
3.22e+22,0.0003796192756107048,0.9996202022553783,6.468701015176216e-08,1.753267981394292e-08,9.624932094979837e-08,5575.596172538409,0.1480221375049012,0.5633678269093885,1.0317015234451551e+20,2.6844239981661567e+25,5.2348835545405955e-15,1.8508439915767936e-26,5.091364365992035e-26,3.880231034909923e-27,3.065963909098884e-26,7.707702034126532e-19,1.1809196133825526e-18,1.5773541934736784e-16
3.22e+22,9.17593139328866e-05,0.9999081321235767,3.674944326735517e-08,3.784820445225232e-09,6.802822660302993e-08,3589.404374743966,1.5741906757175351e-12,0.5597278696746585,-1723549050.9277177,2.6924770062141393e+25,5.1857529101704766e-15,6.250591788409228e-27,1.6611240134825984e-26,1.2259009130723269e-27,9.456970638878032e-27,7.113430474355452e-19,1.0933655314858455e-18,1.4948095598451277e-16
3.22e+22,8.337346524106516e-05,0.9999165263528886,3.457230939359366e-08,2.4857734428056566e-09,6.312378748759344e-08,3391.882577485927,1.4875904745581436e-12,0.5593690114080515,-2094778192.0963607,2.6932709764574623e+25,5.180911116035759e-15,5.7816784017050325e-27,1.5329273098165078e-26,1.1290754096222564e-27,8.697957797874374e-27,7.052210601732107e-19,1.0843928071821717e-18,1.4865811709638529e-16
3.22e+22,7.424772882278264e-05,0.9999256902605679,2.0751023118599034e-08,2.7923871636103397e-09,3.846719924637548e-08,3780.833183678585,5.88901065939381,0.5813887199312275,9.689208234504792e+22,2.64495078126513e+25,5.479235708500256e-15,5.2502074219936014e-27,1.379282858227907e-26,1.0099004373582323e-27,7.770445532631309e-27,1.0944407025551825e-18,1.657590720916308e-18,2.0192657020647102e-16
3.22e+22,0.0001405190962844378,0.9998592954497119,6.15737728853891e-08,9.67108023193791e-09,1.142091506510323e-07,3946.5550841336985,3.59512381328471,0.5677990758289813,1.8990952814110747e+22,2.6746371633268207e+25,5.2947682049685254e-15,8.80134684134864e-27,2.3618269169966847e-26,1.7583481765874114e-27,1.366015273553488e-26,8.41159760491956e-19,1.2851869542392406e-18,1.6781312142722462e-16
3.22e+22,0.00023473388956865,0.9997651189323817,4.948693661462693e-08,1.2266376068165044e-08,8.542473686724896e-08,4949.697455435003,0.725726212792351,0.562495199473159,5.6087896890524113e+20,2.68635307013348e+25,5.2230995732488314e-15,1.309214840251955e-26,3.561063072606504e-26,2.6839534557142553e-27,2.104085603848692e-26,7.566442631768301e-19,1.160067330637357e-18,1.5575200292805693e-16
3.22e+22,3.608452724210442e-05,0.9999639035604053,3.935151282527419e-09,6.81733503549206e-10,7.295467723142387e-09,4097.435533913102,8.344524175166242,0.6064324834480035,3.075528895627335e+23,2.5914457361981178e+25,5.822005471370347e-15,2.9140702403220245e-27,7.315953919308407e-27,5.205673298311463e-28,3.975506375106533e-27,1.7069991566817316e-18,2.5485951182843277e-18,2.769743422261684e-16
3.22e+22,0.0001625188195788267,0.9998373044445935,5.809036827682447e-08,1.1231925357863144e-08,1.07413533985746e-07,4257.255537160224,1.867215846924863e-12,0.5609434743545246,-207063401.93552697,2.689787265400901e+25,5.202156247254338e-15,9.880902349301037e-27,2.6637816637868986e-26,1.9908070676746514e-27,1.5503251112592457e-26,7.316817898943219e-19,1.123238677176769e-18,1.522528298112151e-16
3.22e+22,0.00028430647506981585,0.9997155140858279,6.107690419318877e-08,1.5597470799253428e-08,1.027647272335632e-07,5091.20454670804,0.0032908605388871125,0.5624681080900588,1.6167415677442957e+18,2.6864133276983804e+25,5.222734352602905e-15,1.507241523291322e-26,4.118682075604795e-26,3.1181544986369062e-27,2.4525243840229507e-26,7.562727554672713e-19,1.159511431280481e-18,1.5569492973418087e-16
3.22e+22,8.68668065101559e-05,0.9999130364809612,3.2718255045198685e-08,3.4680720153490367e-09,6.052620150247858e-08,3603.92749636472,0.033633912742595654,0.5597551014251827,-3.1765757752593764e+19,2.69241628041516e+25,5.1861195482558846e-15,5.977219157463817e-27,1.5861623420224175e-26,1.1691609076049506e-27,9.011871502098113e-27,7.116874321117958e-19,1.0938849572455227e-18,1.4953650043387978e-16
3.22e+22,0.00012429965237708944,0.9998755399933006,5.3407854711035743e-08,7.804231301083412e-09,9.914223624892526e-08,3865.7445748012974,1.6954890059478076e-12,0.5602300946304951,-1112106574.7923517,2.6913663555523505e+25,5.192530468178906e-15,7.993784954274e-27,2.1406982259491933e-26,1.590248389752711e-27,1.2326016326292211e-26,7.199648458230529e-19,1.1059986459982707e-18,1.5063727433315343e-16
3.22e+22,0.00016370049899812697,0.9998361189453652,5.9348998214502065e-08,1.1441432899119966e-08,1.0976520567346158e-07,4251.812010206072,1.8648301712763717e-12,0.5609335062166196,-219986067.0503872,2.6898093361319217e+25,5.2020217457556796e-15,9.932593382088477e-27,2.6781133615822686e-26,2.001773128923099e-27,1.5589909977655291e-26,7.315208395246793e-19,1.1230014273780072e-18,1.5223038399566866e-16
3.22e+22,0.00017787094947897743,0.9998219729504138,5.131949048770065e-08,1.1072608420385354e-08,9.370800849644013e-08,4493.159558295878,0.08444645346111662,0.5613782830050777,1.2088478534847443e+19,2.6888248682546068e+25,5.208023971578496e-15,1.060329593509307e-26,2.8646159182675413e-26,2.1451263661083275e-27,1.6730415033806617e-26,7.387441619715221e-19,1.1336448738282409e-18,1.5323513770415736e-16
3.22e+22,0.00012004527213249073,0.9998797508514116,7.03610660902272e-08,5.427312718974243e-09,1.2808807725032665e-07,3410.4269979010146,1.1299918052331224,0.5601542163998333,-8.993192067677048e+20,2.691529508211947e+25,5.1914987115165025e-15,7.773634921502913e-27,2.0802444507829716e-26,1.5443095122058732e-27,1.1962546239916215e-26,7.176606004085772e-19,1.102735341369077e-18,1.5040137376805521e-16
3.22e+22,2.6104150013838343e-05,0.9999738860748331,3.301708438684883e-09,3.098821656075676e-10,6.163562288989372e-09,3536.042204689484,3.880636461178453,0.570275324795482,3.606872243367478e+22,2.6690841848540066e+25,5.328086791910478e-15,2.148369430882853e-27,5.5094780937151806e-27,3.961667744720242e-28,3.0182474644191997e-27,8.675325489171547e-19,1.3257765820195657e-18,1.725842772992228e-16
3.22e+22,0.00036128055141765276,0.9996384557085227,9.039190086914231e-08,2.3361081924086445e-08,1.499870768393882e-07,5164.879871865472,2.5567179831461324,0.5659818356119277,8.837057932071841e+21,2.678652076755706e+25,5.270205994424629e-15,1.7865626691602987e-26,4.908025556423668e-26,3.7358642415839665e-27,2.9500691877342014e-26,8.130460794585227e-19,1.2434149764685706e-18,1.6371276615218738e-16
3.22e+22,0.00010425456391106977,0.9998956116333666,4.510705147069898e-08,5.200631756860448e-09,8.34950390343668e-08,3659.7615641586203,1.6050667738759745e-12,0.5598555370591681,-1556512274.8642397,2.692195107604427e+25,5.1874764476087964e-15,6.940078792377741e-27,1.8503740334086993e-26,1.3693276578270135e-27,1.05834926812454e-26,7.136510388325712e-19,1.0967328537575961e-18,1.4978141600930918e-16
3.22e+22,0.000402284724463785,0.9995975342395269,6.659662978187032e-08,1.8159580891745487e-08,9.627979852909064e-08,5667.839191945922,0.09211064905458467,0.563530336765135,5.184344404278069e+19,2.6840648506646636e+25,5.237078481183393e-15,1.926867222028769e-26,5.307291308422467e-26,4.050024175584043e-27,3.2026604585807656e-26,7.733961887223244e-19,1.1847981687810848e-18,1.581052183450031e-16
3.22e+22,0.000360182731862048,0.9996396414609267,6.29564940450084e-08,1.6955885461992842e-08,9.589483167261597e-08,5496.2446055902765,0.05081723098576786,0.5632122430346537,2.731511081425246e+19,2.6847679135074153e+25,5.232782358111888e-15,1.786657734279387e-26,4.9090119582598276e-26,3.736822969318567e-27,2.950394829299969e-26,7.68264483569366e-19,1.1772181039759623e-18,1.5738210122665802e-16
3.22e+22,0.00012714597721459882,0.9998727258064033,4.2275806178533156e-08,7.52142931994337e-09,7.841914676258928e-08,4118.071513160905,0.31159266062152263,0.5607469646415847,-7.119771782931092e+19,2.6902216943100953e+25,5.199503652506829e-15,8.146582581752843e-27,2.1826080999795358e-26,1.622096663124023e-27,1.2578151380364104e-26,7.283459736267718e-19,1.118342996866692e-18,1.5180093309966226e-16
3.22e+22,6.462202316001498e-05,0.9999353337285461,1.4764654059193744e-08,2.092535690823872e-09,2.7391104103670427e-08,3830.064794026048,1.616928474335659,0.561836286171634,1.0421095994987182e+21,2.6877957253419865e+25,5.2141790582523205e-15,4.683795039453507e-27,1.2326091912477612e-26,9.025931158604388e-28,6.930904926388611e-27,7.429926160391576e-19,1.1402913991805489e-18,1.5407411490225356e-16
3.22e+22,0.0001605879695165673,0.9998391351011505,9.246168193939215e-08,1.2906730477358552e-08,1.7156092043430774e-07,3819.4526731868377,1.8926182947305432,0.5621782527107503,1.625424336196317e+21,2.6870462156302763e+25,5.2188076177521966e-15,9.796498260938619e-27,2.6400601448695004e-26,1.972446134495457e-27,1.5356542396666558e-26,7.497520416044361e-19,1.1501194802725394e-18,1.5492745028188584e-16
