n0,ne/n0,(Ar)/n0,(Ar*(1))/n0,(Ar*(2))/n0,(Ar*(3))/n0,Tg,E,energy,mobility,diffusion,C0,C1,C2,C3,C4,C5,C6,C7
3.22e+22,0.0008810652654320017,0.9991186287560155,1.4604915797881973e-07,4.203192544297021e-08,1.1789746890460909e-07,6954.243930858731,0.5166793037044161,0.9596155028568499,9.106517584497293e+24,1.9540269716232163e+25,1.0848016183144679e-14,7.073535584042518e-25,5.445876657771234e-25,4.7832141140403957e-29,1.267805264294348e-32,6.924675021608894e-17,9.126967243998123e-17,3.898788288200262e-15
3.22e+22,0.000529714248495989,0.9994700823109914,8.097759681640949e-08,2.240608480684271e-08,1.0005683112510752e-07,6102.208712058329,0.3238709326726397,0.8378302200910035,7.630377454758783e+24,2.144713373603872e+25,9.018046095639979e-15,5.488017503721487e-26,4.0599608546852705e-26,2.2922290593300397e-30,1.496386350258486e-30,2.4133761673731903e-17,3.293990053873559e-17,1.8214388423181034e-15
3.22e+22,0.0009119886161777132,0.9990877072807264,1.5548216893375418e-07,4.7330925876604444e-08,1.01290001067999e-07,7206.7700488505725,2.8549692329004857,1.192525429584811,2.727552603305846e+25,1.5803652498645207e+25,1.436484152299431e-14,2.1536580321532162e-24,1.6760319400514828e-24,1.6627649424983192e-28,-2.7362574904498882e-30,1.4272601920235748e-16,1.8620722351255632e-16,7.331099223105483e-15
3.22e+22,0.0007636066445841249,0.9992361325255978,1.1866663131043409e-07,3.351378341537872e-08,1.0864940345729821e-07,6731.794358597187,0.8075076708736821,0.9620138160350962,1.2610566736558454e+25,1.9163562760866154e+25,1.0850463493381075e-14,4.158545735756583e-25,3.170586688396227e-25,2.491785644949319e-29,3.7376672224286027e-31,5.778234297792002e-17,7.677847240597253e-17,3.4786537244520382e-15
3.22e+22,0.00043090290086022793,0.99956891232536,6.924878770309475e-08,1.8988093316730637e-08,9.653689886707396e-08,5778.015211810376,0.08258724371009382,0.7587701648864802,3.291464201576432e+24,2.305626369163009e+25,7.943100611463519e-15,1.5879434080334132e-26,1.1547192295984008e-26,5.743438873620875e-31,1.796901669657413e-30,1.4063927078270312e-17,1.950853383750269e-17,1.2176229746950776e-15
3.22e+22,0.0022598175948930713,0.9977387197214335,8.619326890917569e-07,3.415194903040694e-07,2.5923149409736934e-07,8513.25340886199,6.2733914096721,1.5689669448688703,4.0500113912931725e+25,1.2883309021051398e+25,2.0483235890118447e-14,4.27512158664885e-23,3.492264462658703e-23,5.9402244586275036e-27,-9.869012924711428e-29,6.091220256924803e-16,7.65374958508817e-16,2.2762494577093503e-14
3.22e+22,0.0009933526556628175,0.9990062850174187,2.0348330374395498e-07,7.033100843722192e-08,8.851260632026826e-08,7587.8464515272435,5.14829228620498,1.4138665045698682,3.7669051214299977e+25,1.3840133146467326e+25,1.786266580928077e-14,8.009125693985881e-24,6.329988176058474e-24,7.474461141361241e-28,-7.047084924751215e-30,3.0908548717495187e-16,3.974135709139546e-16,1.3916667821440983e-14
3.22e+22,0.001099910133523508,0.9988996793852818,2.2250381911718894e-07,7.232444342911337e-08,1.1565293221340508e-07,7509.244604468834,0.7266184704220262,1.0437339253312408,1.0717748326971164e+25,1.8370028252651353e+25,1.214421563490286e-14,2.7358487858469736e-24,2.1545023545025164e-24,2.443899832704013e-28,-2.205147367185359e-30,1.227283832889989e-16,1.5880893517715009e-16,5.932623416529374e-15
3.22e+22,0.0008599267512877023,0.9991397785982927,1.403447780219838e-07,4.0379265657590755e-08,1.1392637597771663e-07,6937.9667321461575,1.0389879917454774,1.006531689448448,1.456309449443874e+25,1.844884104920233e+25,1.1524872133057211e-14,7.510391957014242e-25,5.77827782495352e-25,5.034937276288331e-29,-3.080332396189529e-31,7.519335776278776e-17,9.914686122064452e-17,4.243922879560366e-15
3.22e+22,0.0016874383382418138,0.9983117499617825,4.514303480911514e-07,1.5095522966911958e-07,2.0931439779799718e-07,7895.502748110693,1.0010715507808887,1.1086012548909912,1.28556025286582e+25,1.7490146424213957e+25,1.3154421376789227e-14,6.081696390932274e-24,4.859501258940532e-24,6.4829575757424325e-28,-1.2457854925716905e-29,1.730948884287868e-16,2.2167187229684713e-16,7.687741547859749e-15
3.22e+22,0.0005895649332075965,0.9994102199456366,8.882810082147659e-08,2.4656190393189597e-08,1.016368645775673e-07,6284.132436671365,0.19808638202529721,0.842383477304889,5.42065380779112e+24,2.1582223853776753e+25,9.12496350562432e-15,9.692323813354539e-26,7.235938813832432e-26,4.4973404586566514e-30,1.362224537791377e-30,2.978443766920738e-17,4.031700535749547e-17,2.0963122224157314e-15
3.22e+22,0.00107582537141315,0.9989237774344256,2.0216482949207328e-07,6.067969629900391e-08,1.3434963540538193e-07,7270.06083606609,0.5539498877403531,1.0000217490142056,9.159676503927767e+24,1.9027286855213485e+25,1.1474442448388535e-14,1.5376642911986075e-24,1.1995240855252763e-24,1.2231285951896821e-28,-1.3045375174273658e-30,9.529655899359154e-17,1.2427050375001933e-16,4.911460595375239e-15
3.22e+22,0.0004433278286296485,0.9995564863748652,7.024866423980394e-08,1.930022846782528e-08,9.624761258165705e-08,5827.702243725642,0.04055607979135999,0.7569417185450803,1.7810606527366706e+24,2.3093804455292187e+25,7.942319880764172e-15,1.892262520256613e-26,1.3797556079158648e-26,6.9585836007512426e-31,1.7724265032157176e-30,1.4970501371292632e-17,2.0712144980036584e-17,1.267771653949931e-15
3.22e+22,0.0013487892603743664,0.9986506460819335,3.080388213915037e-07,1.0015096265267037e-07,1.564679081715446e-07,7660.23455389404,2.114814635981745,1.1756696219816158,2.1811532912273304e+25,1.6243408586559656e+25,1.4147156609518688e-14,4.731164234809794e-24,3.74782422622768e-24,4.5404823169655945e-28,-7.366181030771009e-30,1.7547467585343572e-16,2.2599393394714e-16,8.137946590688614e-15
3.22e+22,0.000742746011007288,0.9992570246409647,1.2727946380356528e-07,4.362508318482235e-08,5.844348109745255e-08,7368.084775814285,6.098434408141741,1.4682680346405101,4.17649962547264e+25,1.3398486808432786e+25,1.870486938516105e-14,6.564816515379183e-24,5.145573124016892e-24,5.534278665739134e-28,-4.588260489561379e-30,3.2776798632398477e-16,4.2337535037391833e-16,1.5187871326093538e-14
3.22e+22,0.0010984920430797517,0.9989008951796235,3.7503118845769914e-07,1.6645884522033788e-07,7.128726323395032e-08,8191.969432646783,9.51836849786824,1.7780755965534223,5.0555877220319944e+25,1.1608364053302974e+25,2.394767346363966e-14,5.1982534552893107e-23,4.2046751069243946e-23,6.418519190647144e-27,-2.003307246707516e-29,9.187432084208701e-16,1.1545629172465215e-15,3.354910968826528e-14
3.22e+22,0.001293704017616125,0.9987057434436503,3.133562318337401e-07,1.0975222638868855e-07,1.2943027526626026e-07,7800.275080833563,2.2762993465601737,1.2041833123467371,2.2620460577725935e+25,1.5956787042022175e+25,1.460159109659837e-14,6.506813687146474e-24,5.1813651201404566e-24,6.653701498283045e-28,-6.850771094652269e-30,2.0272952556502436e-16,2.599737591268736e-16,9.07166463254761e-15
3.22e+22,0.00019816314186172428,0.9998017997794728,1.440382257946237e-08,3.998690469325783e-09,1.86761526381552e-08,5852.28497790111,6.43588089875599,1.3668725698586266,4.6357690879189325e+25,1.389160242202462e+25,1.6961679793723995e-14,1.7885921162259196e-25,1.307595786472366e-25,6.294645309129274e-30,-3.95055126250843e-31,1.1517562652055967e-16,1.5721739425433467e-16,8.214960549262786e-15
