n0,ne/n0,(Ar)/n0,(Ar*(1))/n0,(Ar*(2))/n0,(Ar*(3))/n0,Tg,E,energy,mobility,diffusion,C0,C1,C2,C3,C4,C5,C6,C7
3.22e+22,0.0008810652654320017,0.9991186287560155,1.4604915797881973e-07,4.203192544297021e-08,1.1789746890460909e-07,6954.243930858731,0.5166793037044161,0.915519629906913,1.0396806386468297e+20,2.071625088799804e+25,1.0312331033349152e-14,8.446858218536538e-25,6.509042889813395e-25,7.670552720561066e-29,6.754242395873007e-28,7.272539265875519e-17,9.54541947357888e-17,3.946513827300704e-15
3.22e+22,0.000529714248495989,0.9994700823109914,8.097759681640949e-08,2.240608480684271e-08,1.0005683112510752e-07,6102.208712058329,0.3238709326726397,0.9125633897558518,1.161324636649334e+20,2.0730986042383776e+25,1.0261291514163508e-14,3.780308738552241e-25,2.8164322277021053e-25,1.156972367765839e-28,3.489373154755537e-27,6.574906663867451e-17,8.697755271300146e-17,3.757873427289042e-15
3.22e+22,0.0009119886161777132,0.9990877072807264,1.5548216893375418e-07,4.7330925876604444e-08,1.01290001067999e-07,7206.7700488505725,2.8549692329004857,0.919814889400388,1.704346777436598e+22,2.057724199768069e+25,1.0372378046124822e-14,1.0537540059680544e-24,8.197095324483188e-25,6.291221188590353e-29,-6.41010097943149e-28,7.516234863175216e-17,9.843801654806854e-17,4.019947184679829e-15
3.22e+22,0.0007636066445841249,0.9992361325255978,1.1866663131043409e-07,3.351378341537872e-08,1.0864940345729821e-07,6731.794358597187,0.8075076708736821,0.9149357615983642,4.218058535132108e+20,2.071229685690215e+25,1.0301444319722775e-14,6.927630558358721e-25,5.29264260488715e-25,8.353527464712759e-29,1.4558566397223808e-27,7.089273998337588e-17,9.323312693637555e-17,3.8979164330585525e-15
3.22e+22,0.00043090290086022793,0.99956891232536,6.924878770309475e-08,1.8988093316730637e-08,9.653689886707396e-08,5778.015211810376,0.08258724371009382,0.9114247462972926,3.357970663078579e+19,2.073725618829071e+25,1.024175995422485e-14,2.691560156094183e-25,1.9793899799911742e-25,1.3465460051789177e-28,4.387420877115833e-27,6.318179575684167e-17,8.384726537517846e-17,3.687058495938328e-15
3.22e+22,0.0022598175948930713,0.9977387197214335,8.619326890917569e-07,3.415194903040694e-07,2.5923149409736934e-07,8513.25340886199,6.2733914096721,0.9372714519834734,1.5012950742796849e+23,2.0131727148275754e+25,1.0622763285628779e-14,2.8528361104946072e-24,2.3178453092068977e-24,-1.5292894235889583e-28,-1.8874102685377156e-26,8.744673555934576e-17,1.1338791728792866e-16,4.375235913230297e-15
3.22e+22,0.0009933526556628175,0.9990062850174187,2.0348330374395498e-07,7.033100843722192e-08,8.851260632026826e-08,7587.8464515272435,5.14829228620498,0.9289039021913175,9.295002005562531e+22,2.0305561829191413e+25,1.0498194846325362e-14,1.4492906779139002e-24,1.1431693204170401e-24,6.227623098463148e-29,-2.498052465966869e-27,7.91106193935495e-17,1.0328771329539513e-16,4.144440436199366e-15
3.22e+22,0.001099910133523508,0.9988996793852818,2.2250381911718894e-07,7.232444342911337e-08,1.1565293221340508e-07,7509.244604468834,0.7266184704220262,0.9175305123033839,3.4823320926633447e+20,2.070367860097206e+25,1.0346887682724309e-14,1.3468051308043093e-24,1.0592318172220074e-24,6.910937737138811e-29,-1.7644938754362337e-27,7.749609392893332e-17,1.012301172937796e-16,4.072930669483511e-15
3.22e+22,0.0008599267512877023,0.9991397785982927,1.403447780219838e-07,4.0379265657590755e-08,1.1392637597771663e-07,6937.9667321461575,1.0389879917454774,0.9158214307519725,7.775401918224842e+20,2.0701703211464927e+25,1.031604176810324e-14,8.331388450803044e-25,6.415970628970784e-25,7.572510121753172e-29,6.847911913438206e-28,7.262235376003153e-17,9.533260140341036e-17,3.944659042210445e-15
3.22e+22,0.0016874383382418138,0.9983117499617825,4.514303480911514e-07,1.5095522966911958e-07,2.0931439779799718e-07,7895.502748110693,1.0010715507808887,0.9190018334124658,3.273953424312838e+20,2.068995243844985e+25,1.0371614054381878e-14,1.8094896613414126e-24,1.4417297683478046e-24,1.2159944957502669e-29,-6.2404516383765654e-27,8.067054534518221e-17,1.0506215331719982e-16,4.156408519056801e-15
