n0,ne/n0,(Ar)/n0,(Ar*(1))/n0,(Ar*(2))/n0,(Ar*(3))/n0,Tg,E,energy,mobility,diffusion,C0,C1,C2,C3,C4,C5,C6,C7
3.22e+22,2.91323813945468e-05,0.9999708543977723,4.476018898414619e-09,4.7232292122961e-10,8.272491345349164e-09,3573.117698728673,6.720198040853346,1.2156002347464907,5.304583729268879e+25,1.472930281807001e+25,1.454613680801376e-14,3.18794690687951e-30,1.9406558372862784e-30,-2.956121257806727e-33,-2.2455197329257717e-32,8.157905587053285e-18,1.3139850530620441e-17,2.1037267315858425e-15
3.22e+22,0.00015557039646747824,0.9998442828333968,4.820714318843581e-08,9.704148407976461e-09,8.88588442649457e-08,4336.523484019445,0.18163881492387748,0.6062567899780574,7.659826342674881e+24,2.602360482909982e+25,5.672540538817355e-15,1.0135837310151885e-29,6.71129459871488e-30,-2.3781279188200145e-34,-2.4633515757590347e-33,8.0469210662195885e-19,1.2364941872439468e-18,1.6880605344242148e-16
3.22e+22,0.00021054187019924297,0.9997892749363244,6.041659779006139e-08,1.3688826392890083e-08,1.0908805214345664e-07,4624.092756070129,2.0281856237267925e-12,0.5977799413890049,132800846959044.16,2.6100315087410967e+25,5.703085386217599e-15,5.818574033693249e-29,3.938276477551181e-29,-2.8254693688983086e-33,-2.659694241663006e-32,1.4912907521347383e-18,2.2336831068463976e-18,2.5031123092301873e-16
3.22e+22,8.207783608876034e-05,0.9999178340900101,2.9849120819040815e-08,3.018255452881503e-09,5.5206524724375284e-08,3575.474806712115,0.10486062948115615,0.4954751828798295,6.89674430432899e+24,2.884569662753011e+25,4.21085843605625e-15,2.619856147060609e-32,3.419868326531936e-32,1.692230744423187e-33,1.2806114985790642e-32,6.623450108312053e-20,1.112426829803986e-19,3.041609282841862e-17
3.22e+22,6.967576314118764e-05,0.9999302896392708,1.1414000980471583e-08,2.1276158923722178e-09,2.1055970979078853e-08,4172.410520587252,2.9451795022776777,0.9202237631326163,3.4903410180707714e+25,1.8020005281572281e+25,1.0117766245505699e-14,1.7331102229612412e-29,1.1312300898878285e-29,-1.56252181857041e-33,-1.2768371594274445e-32,2.61755639054615e-18,4.061603635065448e-18,5.766650072721989e-16
3.22e+22,0.00014760574239568435,0.9998522534818669,4.626031550252935e-08,9.076660999699732e-09,8.543876097171079e-08,4286.326672393656,0.27132422130007244,0.6188997856509802,9.6056476824351e+24,2.558420184268453e+25,5.804060569594125e-15,7.543689067459782e-30,4.975497659408615e-30,-7.330218529220874e-35,-1.0207974564425343e-33,7.414786197241277e-19,1.144853182540936e-18,1.622049196229951e-16
3.22e+22,0.00013050592347083753,0.9998694656869175,1.005458907582716e-08,2.6619728746567847e-09,1.5673049630329335e-08,5381.418261012239,8.480980991781399,1.4868220761862945,5.390404803136479e+25,1.3032586781747632e+25,1.8806364038773838e-14,8.052564781682145e-26,5.753902706154095e-26,1.9445425712434212e-30,-2.5998756875022824e-31,1.4127799496625314e-16,1.9562220904050869e-16,1.0840880550251024e-14
3.22e+22,0.00030027753234954823,0.9996994991535121,7.541914294914843e-08,1.889844593955046e-08,1.2899654959592445e-07,5006.111020876614,3.5890933308959494,1.0524844589399498,3.6325245806507763e+25,1.6582054783762292e+25,1.211723092291073e-14,2.351505661756585e-27,1.636511757083648e-27,-4.121249687650809e-32,-6.197761868013307e-31,1.5549996113837707e-17,2.2491844288399867e-17,1.867446167555136e-15
3.22e+22,0.00025547460776823873,0.9997444002935594,4.316691786933313e-08,1.1217956910888e-08,7.071379754136325e-08,5210.002048931697,1.3911565467470564,0.8572090587439216,2.1089690802156723e+25,1.9790654471971218e+25,9.202463497543322e-15,2.310378919266453e-27,1.629233954334951e-27,3.1238000734727184e-32,-1.2364603905272488e-31,8.671003156361442e-18,1.2422602642275015e-17,9.85706824001621e-16
3.22e+22,0.00010006288914870354,0.9998998100097476,4.294912731719451e-08,4.6719786119774845e-09,7.947999771905063e-08,3620.3953948670214,1.5878534544667587e-12,0.4680040049414263,147895422763958.3,2.905769171298189e+25,3.984395363636596e-15,3.8689342237008705e-32,5.247780601630649e-32,2.6776058836893953e-33,2.0263361093245997e-32,7.106906556507979e-20,1.1863198197259092e-19,3.0907848164168576e-17
3.22e+22,5.3408774625191595e-05,0.9999465505273303,1.3999515174295375e-08,1.125687642796966e-09,2.557284147763334e-08,3432.2496813508956,0.8359955021943685,0.6172279593262954,2.0061216594136085e+25,2.446862604580506e+25,5.652095966742193e-15,1.0896126049573479e-32,1.4163935600684107e-32,7.046266647900542e-34,5.332167910076953e-33,6.994983840176394e-20,1.199030247431844e-19,3.828834874771039e-17
3.22e+22,0.00010468844021274305,0.9998951792395524,4.4520563193716476e-08,5.292475464850368e-09,8.25071961638796e-08,3685.1556524593366,1.6162255023224585e-12,0.47637689969988717,146870108473622.3,2.885697393486002e+25,4.090681762876753e-15,5.944799404557353e-32,6.580274112924977e-32,2.7028747890532615e-33,2.0454216785882374e-32,9.081150463691052e-20,1.5025052063865387e-19,3.6517431394403016e-17
